id,ranking_score,geography_name,sq_meters,price,year_of_construction,ad_type,floor,rooms,subtype,price_per_sqrm
42911697,47.0,northern sub,567,200000,2005,simple,1,4,apartment,353.0
43018583,134.7,northern sub,642,550000,1992,simple,ground-floor,5,detached,857.0
39670968,71.0,northern sub,320,500000,2009,simple,ground-floor,2,detached,1562.0
39740833,122.0,northern sub,95,230000,2007,simple,1,3,apartment,2421.0
39742998,126.7,northern sub,195,370000,2007,simple,ground-floor,4,maisonette,1897.0
39813890,133.8,northern sub,318,560000,2011,simple,ground-floor,6,detached,1761.0
36078547,116.5,northern sub,291,970000,2010,simple,ground-floor,3,maisonette,3333.0
36152206,154.5,northern sub,400,850000,2008,simple,ground-floor,6,detached,2125.0
42932512,160.5,northern sub,440,1050000,1994,simple,ground-floor,4,detached,2386.0
38815541,127.0,northern sub,185,390000,1976,simple,1,4,apartment,2108.0
43208870,124.8,northern sub,300,550000,1993,simple,ground-floor,5,detached,1833.0
41431871,116.0,northern sub,268,420000,2010,up,ground-floor,4,maisonette,1567.0
43226076,144.0,northern sub,480,1050000,1995,simple,ground-floor,7,detached,2188.0
42301798,159.7,northern sub,330,500000,2010,simple,ground-floor,3,maisonette,1515.0
42344900,144.7,northern sub,270,420000,2012,simple,ground-floor,4,maisonette,1556.0
42344936,148.4,northern sub,160,330000,2009,simple,2,4,maisonette,2062.0
42359374,145.5,northern sub,230,370000,2012,simple,ground-floor,2,maisonette,1609.0
42359450,100.0,northern sub,230,370000,2009,simple,ground-floor,4,maisonette,1609.0
39398538,102.4,northern sub,385,650000,1992,up,ground-floor,4,detached,1688.0
41696424,169.5,northern sub,330,450000,2010,up,ground-floor,3,detached,1364.0
39431324,117.4,northern sub,185,390000,1976,simple,1,4,apartment,2108.0
39437349,125.4,northern sub,385,700000,1992,simple,ground-floor,4,detached,1818.0
40918888,68.8,northern sub,85,200000,1962,simple,ground-floor,3,detached,2353.0
43404007,147.5,northern sub,270,460000,1998,star,ground-floor,3,detached,1704.0
42798649,125.0,northern sub,145,300000,2003,simple,ground-floor,4,maisonette,2069.0
42412316,136.4,northern sub,230,375000,2010,simple,ground-floor,4,maisonette,1630.0
42437080,162.8,northern sub,230,370000,2012,simple,basement,5,maisonette,1609.0
42950437,163.5,northern sub,330,800000,2006,premium,ground-floor,5,detached,2424.0
41930319,143.2,northern sub,428,670000,1997,premium,ground-floor,4,detached,1565.0
41959003,162.0,northern sub,370,475000,1994,simple,ground-floor,4,detached,1284.0
42961401,116.5,northern sub,95,180000,1982,simple,ground-floor,1,detached,1895.0
41993358,119.9,northern sub,567,180000,2005,simple,ground-floor,0,building,317.0
42962510,120.0,northern sub,92,250000,1980,simple,ground-floor,2,detached,2717.0
43014638,179.0,northern sub,400,550000,1987,simple,ground-floor,5,detached,1375.0
42061888,130.0,northern sub,340,1300000,1999,simple,ground-floor,5,detached,3824.0
38895271,82.8,northern sub,480,1100000,1985,up,ground-floor,5,detached,2292.0
38918094,110.3,northern sub,500,1100000,2005,simple,basement,5,detached,2200.0
38968527,133.3,northern sub,185,390000,1976,simple,1,4,apartment,2108.0
39169282,147.0,northern sub,185,390000,1976,simple,1,4,apartment,2108.0
39907794,135.5,northern sub,340,1300000,2004,simple,ground-floor,6,detached,3824.0
40012422,115.3,northern sub,190,750000,1960,simple,ground-floor,4,detached,3947.0
40907685,127.4,northern sub,85,200000,1967,simple,ground-floor,2,detached,2353.0
36874731,67.0,northern sub,185,300000,1974,simple,ground-floor,5,detached,1622.0
36933464,87.6,northern sub,190,390000,1987,simple,1,4,apartment,2053.0
37163871,118.9,northern sub,330,850000,2009,simple,ground-floor,4,detached,2576.0
37417869,109.0,northern sub,330,850000,2009,simple,basement,4,detached,2576.0
43407897,93.5,northern sub,270,460000,1998,simple,ground-floor,3,detached,1704.0
43408843,136.7,northern sub,270,460000,1998,star,1,3,detached,1704.0
40986917,93.0,northern sub,138,195000,1962,simple,ground-floor,3,detached,1413.0
43174684,96.5,northern sub,250,500000,2000,simple,ground-floor,5,maisonette,2000.0
43414416,99.5,northern sub,270,460000,1998,simple,ground-floor,4,detached,1704.0
41026374,147.4,northern sub,95,200000,1962,simple,ground-floor,2,detached,2105.0
43425147,128.0,northern sub,270,460000,1998,star,ground-floor,3,detached,1704.0
42090651,141.9,northern sub,270,530000,1997,simple,ground-floor,3,maisonette,1963.0
43431198,139.0,northern sub,270,460000,1998,simple,ground-floor,3,detached,1704.0
41167915,140.0,northern sub,350,490000,1995,simple,ground-floor,4,detached,1400.0
41189599,104.5,northern sub,350,500000,1995,simple,ground-floor,4,detached,1429.0
43447877,130.9,northern sub,270,460000,1998,simple,ground-floor,3,detached,1704.0
43448558,65.9,northern sub,180,460000,2000,simple,ground-floor,3,maisonette,2556.0
41208195,141.2,northern sub,360,490000,1995,simple,ground-floor,3,detached,1361.0
41219454,136.5,northern sub,330,750000,1983,simple,ground-floor,4,maisonette,2273.0
42198118,138.0,northern sub,310,1200000,1963,simple,ground-floor,4,detached,3871.0
43460030,106.3,northern sub,270,460000,1998,star,ground-floor,3,detached,1704.0
41285875,170.0,northern sub,350,500000,1995,star,ground-floor,4,detached,1429.0
41370412,109.3,northern sub,150,450000,2006,simple,ground-floor,3,detached,3000.0
41233678,142.0,northern sub,330,550000,1978,simple,ground-floor,4,maisonette,1667.0
41727294,169.0,northern sub,480,950000,1985,simple,ground-floor,5,detached,1979.0
41798730,143.0,northern sub,112,225000,1980,simple,2,3,apartment,2009.0
42740856,95.7,northern sub,260,430000,1980,simple,1,4,apartment,1654.0
42863920,122.0,northern sub,255,850000,2015,simple,ground-floor,4,maisonette,3333.0
42884593,125.0,northern sub,546,900000,1979,simple,ground-floor,3,maisonette,1648.0
42891876,144.0,northern sub,180,360000,2005,simple,1,3,maisonette,2000.0
42892293,96.5,northern sub,300,650000,1997,simple,3,3,maisonette,2167.0
42900650,101.5,northern sub,236,880000,2011,simple,ground-floor,4,apartment,3729.0
42901445,160.0,northern sub,180,330000,2005,premium,ground-floor,4,maisonette,1833.0
35023141,69.4,northern sub,110,150000,1976,simple,1,2,apartment,1364.0
42908823,152.0,northern sub,180,360000,2005,simple,2,3,maisonette,2000.0
42911022,97.3,northern sub,248,600000,2008,simple,ground-floor,4,apartment,2419.0
42911285,172.0,northern sub,340,550000,1985,premium,1,4,apartment,1618.0
42754867,78.5,northern sub,267,420000,1958,simple,ground-floor,2,apartment,1573.0
42755150,65.7,northern sub,250,600000,2008,simple,ground-floor,5,maisonette,2400.0
42759976,103.0,northern sub,250,550000,2007,simple,mezzanine,5,maisonette,2200.0
35092986,142.0,northern sub,200,800000,2009,simple,1,4,apartment,4000.0
